run_index,algorithm,start_x,start_y,step,x,y,f_value,valid
6,Gradient Descent,0.3,0.7,6100,0.310705,0.358942,-0.00460533,1
6,Gradient Descent,0.3,0.7,6200,0.31157,0.357855,-0.00460726,1
6,Gradient Descent,0.3,0.7,6300,0.312405,0.356816,-0.00460904,1
6,Gradient Descent,0.3,0.7,6400,0.31321,0.355821,-0.00461068,1
6,Gradient Descent,0.3,0.7,6500,0.313986,0.354869,-0.00461218,1
6,Gradient Descent,0.3,0.7,6600,0.314733,0.353958,-0.00461357,1
6,Gradient Descent,0.3,0.7,6700,0.315453,0.353086,-0.00461485,1
6,Gradient Descent,0.3,0.7,6800,0.316147,0.352251,-0.00461603,1
6,Gradient Descent,0.3,0.7,6900,0.316815,0.351453,-0.00461711,1
6,Gradient Descent,0.3,0.7,7000,0.317458,0.350688,-0.00461811,1
6,Gradient Descent,0.3,0.7,7100,0.318077,0.349957,-0.00461903,1
6,Gradient Descent,0.3,0.7,7200,0.318674,0.349257,-0.00461987,1
6,Gradient Descent,0.3,0.7,7300,0.319247,0.348587,-0.00462065,1
6,Gradient Descent,0.3,0.7,7400,0.3198,0.347946,-0.00462137,1
6,Gradient Descent,0.3,0.7,7500,0.320331,0.347332,-0.00462203,1
6,Gradient Descent,0.3,0.7,7600,0.320843,0.346744,-0.00462263,1
6,Gradient Descent,0.3,0.7,7700,0.321335,0.346182,-0.00462319,1
6,Gradient Descent,0.3,0.7,7800,0.321808,0.345643,-0.00462371,1
6,Gradient Descent,0.3,0.7,7900,0.322263,0.345128,-0.00462418,1
6,Gradient Descent,0.3,0.7,8000,0.322701,0.344634,-0.00462461,1
6,Gradient Descent,0.3,0.7,8100,0.323122,0.344162,-0.00462502,1
6,Gradient Descent,0.3,0.7,8200,0.323527,0.343709,-0.00462538,1
6,Gradient Descent,0.3,0.7,8300,0.323916,0.343276,-0.00462572,1
6,Gradient Descent,0.3,0.7,8400,0.32429,0.342861,-0.00462604,1
6,Gradient Descent,0.3,0.7,8500,0.32465,0.342464,-0.00462632,1
6,Gradient Descent,0.3,0.7,8600,0.324996,0.342083,-0.00462659,1
6,Gradient Descent,0.3,0.7,8700,0.325328,0.341719,-0.00462683,1
6,Gradient Descent,0.3,0.7,8800,0.325647,0.34137,-0.00462705,1
6,Gradient Descent,0.3,0.7,8900,0.325954,0.341036,-0.00462726,1
6,Gradient Descent,0.3,0.7,9000,0.326249,0.340716,-0.00462745,1
6,Gradient Descent,0.3,0.7,9100,0.326533,0.340409,-0.00462762,1
6,Gradient Descent,0.3,0.7,9200,0.326805,0.340115,-0.00462778,1
6,Gradient Descent,0.3,0.7,9300,0.327066,0.339834,-0.00462793,1
6,Gradient Descent,0.3,0.7,9400,0.327318,0.339564,-0.00462807,1
6,Gradient Descent,0.3,0.7,9500,0.327559,0.339306,-0.00462819,1
6,Gradient Descent,0.3,0.7,9600,0.327791,0.339059,-0.00462831,1
6,Gradient Descent,0.3,0.7,9700,0.328014,0.338822,-0.00462841,1
6,Gradient Descent,0.3,0.7,9800,0.328227,0.338595,-0.00462851,1
6,Gradient Descent,0.3,0.7,9900,0.328433,0.338377,-0.0046286,1
6,Gradient Descent,0.3,0.7,10000,0.32863,0.338168,-0.00462868,1
7,Steepest Descent,0.3,0.7,0,0.3,0.7,-0,1
7,Steepest Descent,0.3,0.7,100,0.220793,0.555045,-0.00343388,1
7,Steepest Descent,0.3,0.7,200,0.238705,0.481262,-0.00402126,1
7,Steepest Descent,0.3,0.7,300,0.263219,0.431037,-0.00433611,1
7,Steepest Descent,0.3,0.7,400,0.283619,0.396981,-0.00449521,1
7,Steepest Descent,0.3,0.7,500,0.298917,0.374528,-0.00456984,1
7,Steepest Descent,0.3,0.7,600,0.309878,0.35998,-0.00460341,1
7,Steepest Descent,0.3,0.7,700,0.317519,0.350613,-0.0046182,1
7,Steepest Descent,0.3,0.7,800,0.322751,0.344576,-0.00462466,1
7,Steepest Descent,0.3,0.7,900,0.326288,0.340672,-0.00462747,1
7,Steepest Descent,0.3,0.7,1000,0.32866,0.338137,-0.00462869,1
7,Steepest Descent,0.3,0.7,1100,0.330241,0.336483,-0.00462922,1
7,Steepest Descent,0.3,0.7,1200,0.33129,0.335402,-0.00462945,1
7,Steepest Descent,0.3,0.7,1300,0.331985,0.334693,-0.00462955,1
7,Steepest Descent,0.3,0.7,1400,0.332444,0.334228,-0.0046296,1
7,Steepest Descent,0.3,0.7,1500,0.332747,0.333922,-0.00462962,1
7,Steepest Descent,0.3,0.7,1600,0.332947,0.333721,-0.00462962,1
7,Steepest Descent,0.3,0.7,1700,0.333079,0.333588,-0.00462963,1
7,Steepest Descent,0.3,0.7,1800,0.333166,0.333501,-0.00462963,1
7,Steepest Descent,0.3,0.7,1900,0.333223,0.333444,-0.00462963,1
7,Steepest Descent,0.3,0.7,2000,0.333261,0.333406,-0.00462963,1
7,Steepest Descent,0.3,0.7,2100,0.333285,0.333381,-0.00462963,1
7,Steepest Descent,0.3,0.7,2200,0.333302,0.333365,-0.00462963,1
7,Steepest Descent,0.3,0.7,2300,0.333313,0.333354,-0.00462963,1
7,Steepest Descent,0.3,0.7,2349,0.333316,0.33335,-0.00462963,1
8,Nelder-Mead (Simplex),0.3,0.7,0,0.3,0.7,-0,1
8,Nelder-Mead (Simplex),0.3,0.7,100,0.459964,0.540036,-1.90743e-08,1
8,Nelder-Mead (Simplex),0.3,0.7,200,0.333334,0.333333,-0.00462963,1
8,Nelder-Mead (Simplex),0.3,0.7,203,0.333334,0.333333,-0.00462963,1
